episode,reward,final_f1,total_tokens,policy_loss,value_loss
1,0.6895147235576924,0.6923076923076924,143.0,0.8853699564933777,0.724609375
2,0.10714395630411255,0.11255411255411256,277.0,0.28107690811157227,0.08120694011449814
3,0.4588219572368421,0.4631578947368421,222.0,0.5658148527145386,0.3466751277446747
4,0.13027911679964535,0.13475177304964536,229.0,0.20269352197647095,0.04414214566349983
5,0.1515384615384615,0.9615384615384615,591.0,0.22924797236919403,0.03708183765411377
6,-0.015138339920948624,0.09486166007905138,569.0,-0.036372747272253036,0.0013338217977434397
7,-0.04984962406015039,0.06015037593984962,780.0,-0.10529503226280212,0.01044419314712286
8,0.1065834683319398,0.11371237458193979,365.0,0.022433023899793625,0.0006170080741867423
9,-0.08647058823529408,0.8235294117647058,530.0,-0.1962529718875885,0.028091304004192352
10,0.028655472132034638,0.03463203463203464,306.0,-0.07521864026784897,0.007531921379268169
11,-0.021564625850340136,0.08843537414965986,633.0,-0.17604640126228333,0.029649363830685616
12,0.09000000000000008,1.0,1144.0,-0.006480841897428036,0.00035779198515228927
13,0.2923828125000001,1.0,390.0,0.2546432614326477,0.04118894413113594
14,0.001755642361111101,0.1111111111111111,479.0,-0.10002195835113525,0.00888867862522602
15,0.29000000000000004,1.0,521.0,0.2586800158023834,0.043187592178583145
16,0.29125,1.0,448.0,0.2607707977294922,0.04655681177973747
17,0.03907858455882353,0.04411764705882353,258.0,-0.07941757142543793,0.008040106855332851
18,0.16088948349530832,0.2680965147453083,369.0,0.021034151315689087,0.0004604860150720924
19,0.29537109375000004,1.0,237.0,0.2002473920583725,0.02999737672507763
20,0.21710376701732673,0.32673267326732675,493.0,0.09204314649105072,0.007597546558827162
21,0.2917773437500001,1.0,421.0,0.16263152658939362,0.020533112809062004
22,0.29162109375,1.0,429.0,0.1327201873064041,0.014090117067098618
23,0.02096976902173913,0.02608695652173913,262.0,-0.16886349022388458,0.032818179577589035
24,0.054895299692622954,0.05901639344262295,211.0,-0.11952982097864151,0.015238136053085327
25,0.2937304687500001,1.0,321.0,0.09459096938371658,0.0076967524364590645
26,0.29427734375000003,1.0,293.0,0.1039656475186348,0.009881224483251572
27,0.29000000000000004,1.0,626.0,0.050992511212825775,0.002505028387531638
28,0.04442820581896552,0.04827586206896552,197.0,-0.16975520551204681,0.027294011786580086
29,0.19000000000000006,1.0,663.0,-0.06362869590520859,0.0031660720705986023
30,-0.002320772058823528,0.7058823529411764,420.0,-0.22085073590278625,0.050691939890384674
31,0.29314453125000006,1.0,351.0,0.0579671710729599,0.0034810544457286596
32,-0.0913953488372093,0.0186046511627907,548.0,-0.37835073471069336,0.10378368198871613
33,0.29011718750000004,1.0,506.0,0.046379245817661285,0.0024665193632245064
34,0.19000000000000006,1.0,599.0,-0.009914794005453587,0.00011412797903176397
35,0.11066518498563219,0.11494252873563218,219.0,-0.08141714334487915,0.005522435065358877
36,0.29046875000000005,1.0,488.0,0.0846194326877594,0.00838572345674038
37,0.06303789227320675,0.06751054852320675,229.0,-0.16368518769741058,0.02135550044476986
38,0.16964558462078652,0.17415730337078653,231.0,-0.0138337267562747,0.00014988527982495725
39,0.10988121811224494,0.8163265306122449,330.0,-0.08274418115615845,0.008667686022818089
40,0.0957142857142857,0.2057142857142857,641.0,-0.09466882050037384,0.005904455669224262
41,0.10189828458629892,0.10676156583629892,249.0,-0.08207382261753082,0.004938176833093166
42,0.29326171875000007,1.0,345.0,0.12099696695804596,0.0193680040538311
43,0.10315725492738588,0.10788381742738588,242.0,-0.04748544469475746,0.0016421480104327202
44,0.9978125,1.0,112.0,0.9267443418502808,0.7080308198928833
45,0.2946484375,1.0,274.0,0.14814519882202148,0.02839287556707859
46,0.19000000000000006,1.0,532.0,0.04459715634584427,0.0018633643630892038
47,0.08228819880653267,0.09045226130653267,418.0,-0.11420894414186478,0.008999329060316086
48,0.19000000000000006,1.0,824.0,0.04207265004515648,0.0017024939879775047
49,0.11677787162162162,0.12162162162162161,248.0,-0.04078518599271774,0.001126960851252079
50,0.29000000000000004,1.0,573.0,0.08892061561346054,0.012438354082405567
51,0.12665364583333338,0.8333333333333334,342.0,-0.021452799439430237,0.0006850545760244131
52,0.02954241071428572,0.03571428571428572,316.0,-0.17010851204395294,0.018402719870209694
53,0.29230468750000005,1.0,394.0,0.1032114028930664,0.016946716234087944
54,0.2945703125000001,1.0,278.0,0.11082224547863007,0.019106514751911163
55,0.2906835937500001,1.0,477.0,0.08256366848945618,0.011663117446005344
56,0.19000000000000006,1.0,612.0,0.010419721715152264,0.0003223695675842464
57,0.2930859375,1.0,354.0,0.0775909349322319,0.010898668318986893
58,0.29306640625,1.0,355.0,0.060428768396377563,0.006591679062694311
59,0.03927702002762431,0.04419889502762431,252.0,-0.23745572566986084,0.03076188452541828
60,0.2935937500000001,1.0,328.0,0.0165336225181818,0.0005723802605643868
61,0.2910351562500001,1.0,459.0,0.03554253652691841,0.0027328922878950834
62,0.19000000000000006,1.0,806.0,-0.07846467196941376,0.006517646834254265
63,0.2906640625000001,1.0,478.0,0.010485264472663403,0.00028765155002474785
64,0.2931054687500001,1.0,353.0,0.007942330092191696,0.00016318702546413988
65,0.29138671875,1.0,441.0,0.0012730670860037208,4.717425326816738e-06
66,0.29279296875000005,1.0,369.0,0.007583213038742542,0.00014901597751304507
67,0.29462890625000004,1.0,275.0,0.013081714510917664,0.00040317169623449445
68,0.31668256915983606,0.32131147540983607,237.0,0.009460149332880974,3.851265864796005e-05
69,0.9868629092261905,0.9904761904761905,185.0,0.8642016649246216,0.42534443736076355
70,0.2901953125000001,1.0,502.0,-0.00950088631361723,0.00023579313710797578
71,0.023854663645038167,0.030534351145038167,342.0,-0.47256219387054443,0.09207639843225479
72,0.29000000000000004,1.0,585.0,-0.030952880159020424,0.0033753381576389074
73,0.19000000000000006,1.0,635.0,-0.13121233880519867,0.016622167080640793
74,0.29058593750000006,1.0,482.0,-0.014400292187929153,0.0006838390254415572
75,-0.2887390988372092,0.4186046511627907,376.0,-0.3504556715488434,0.34737640619277954
76,0.2941015625000001,1.0,302.0,0.021648313850164413,0.0012901496374979615
77,-0.11120481927710835,0.6987951807228916,801.0,-0.4286353290081024,0.17184561491012573
78,0.19000000000000006,1.0,641.0,-0.047280214726924896,0.0021638565231114626
79,0.29000000000000004,1.0,531.0,0.031296513974666595,0.0027848572935909033
80,0.19000000000000006,1.0,692.0,-0.04104384407401085,0.0013537895865738392
81,0.031392505787037034,0.037037037037037035,289.0,-0.24128836393356323,0.02723024971783161
82,0.29000000000000004,1.0,647.0,0.04096616804599762,0.004423364996910095
83,0.29181640625000005,1.0,419.0,0.07729818671941757,0.014855707064270973
84,0.2913671875,1.0,442.0,0.06334191560745239,0.010526174679398537
85,0.29000000000000004,1.0,565.0,0.05670063942670822,0.005688469856977463
86,0.2949609375000001,1.0,258.0,0.09015199542045593,0.02110629715025425
87,0.19000000000000006,1.0,942.0,-0.0020507192239165306,0.00021489296341314912
88,0.03174215768129771,0.03816793893129771,329.0,-0.2473512887954712,0.024747634306550026
89,0.29000000000000004,1.0,581.0,-0.02070017345249653,0.0013521896908059716
90,0.29523437500000005,1.0,244.0,0.04651055857539177,0.005790875293314457
91,0.0676315789473684,0.17763157894736842,633.0,-0.20379053056240082,0.01652614027261734
92,0.29107421875000006,1.0,457.0,0.0543089397251606,0.010474631562829018
93,0.2906640625000001,1.0,478.0,0.03944406658411026,0.00712970457971096
94,0.043984375000000075,0.75,308.0,-0.1402972787618637,0.043417610228061676
95,0.29000000000000004,1.0,575.0,0.03296079859137535,0.0045348722487688065
96,0.29277343750000007,1.0,370.0,0.046329185366630554,0.008318368345499039
97,0.2948242187500001,1.0,265.0,0.047010164707899094,0.008677470497786999
98,0.17851217468454258,0.1829652996845426,228.0,-0.08477422595024109,0.0025546650867909193
99,0.01322823660714286,0.01785714285714286,237.0,-0.35006633400917053,0.04001554846763611
100,0.19000000000000006,1.0,542.0,-0.049033667892217636,0.0015809077303856611
101,0.2900585937500001,1.0,509.0,0.01841425523161888,0.001730333431623876
102,0.29302734375000006,1.0,357.0,0.023775864392518997,0.0037357951514422894
103,0.2941015625000001,1.0,302.0,0.016911374405026436,0.0017275204882025719
104,0.2934375,1.0,336.0,0.015087200328707695,0.0010374548146501184
105,0.2929882812500001,1.0,359.0,0.01843305118381977,0.002358426107093692
106,0.29435546875000007,1.0,289.0,0.016148246824741364,0.0011732333805412054
107,0.29244140625000004,1.0,387.0,0.004912119824439287,0.00015431929205078632
108,0.29179687500000007,1.0,420.0,-0.010145897045731544,0.000853656034450978
109,0.13494801383706465,0.13930348258706465,223.0,-0.3149927258491516,0.027269242331385612
110,0.29365234375000004,1.0,325.0,0.007548270281404257,0.00042093716911040246
111,0.29000000000000004,1.0,651.0,-0.0055365427397191525,0.0002288343384861946
112,0.12438548018292683,0.8292682926829268,250.0,-0.08822701126337051,0.042153120040893555
113,0.8552873883928571,0.8571428571428571,95.0,0.9607715010643005,0.3165358006954193
114,0.2933203125,1.0,342.0,0.0014954917132854462,1.626556331757456e-05
115,0.1669933744820442,0.1712707182320442,219.0,-0.2992790937423706,0.02168622985482216
116,0.2904296875000001,1.0,490.0,0.008031544275581837,0.00037474752753041685
117,0.039663563204887224,0.04511278195488722,279.0,-0.43171441555023193,0.051354628056287766
118,0.2940820312500001,1.0,303.0,0.025619152933359146,0.0029860958456993103
119,0.2931250000000001,1.0,352.0,0.012240529991686344,0.001245045685209334
120,0.2940625,1.0,304.0,0.010414309799671173,0.0008379716891795397
121,0.29000000000000004,1.0,609.0,0.003600460710003972,0.00012078258441761136
122,0.29218750000000004,1.0,400.0,0.009666774421930313,0.0006835616077296436
123,0.2954296875000001,1.0,234.0,0.016232259571552277,0.001826428808271885
124,0.21721526567944252,0.2229965156794425,296.0,-0.11058446019887924,0.003028401406481862
125,0.28823560554029304,0.29304029304029305,246.0,0.016533466055989265,6.463554746005684e-05
126,0.12473958333333335,0.8333333333333333,440.0,-0.05103950574994087,0.021707098931074142
127,0.19000000000000006,1.0,643.0,-0.06978875398635864,0.004335954785346985
128,0.29365234375000004,1.0,325.0,0.02857925184071064,0.0045279874466359615
129,0.29076171875,1.0,473.0,0.01935671828687191,0.0025852196849882603
130,0.29150390625,1.0,435.0,0.012134994380176067,0.0011042868718504906
131,-0.0022155688622754605,0.10778443113772454,604.0,-0.4273146986961365,0.053111493587493896
132,0.11021324936224497,0.8163265306122449,313.0,-0.0576031357049942,0.021109716966748238
133,0.294296875,1.0,292.0,0.029456056654453278,0.005213427357375622
134,0.29048828125000004,1.0,487.0,0.026421545073390007,0.004816334694623947
135,0.29425781250000005,1.0,294.0,0.03917090594768524,0.00972909014672041
136,0.29292968750000004,1.0,362.0,0.03489621728658676,0.007277406752109528
137,0.29341796875000004,1.0,337.0,0.015813615173101425,0.0009317155345343053
138,0.2914062500000001,1.0,440.0,0.018402332440018654,0.0014075596118345857
139,0.2932421875000001,1.0,346.0,0.02161700464785099,0.002841680310666561
140,0.29423828125000007,1.0,295.0,0.021501651033759117,0.001773440046235919
141,0.3815784801136364,0.38636363636363635,245.0,0.23496851325035095,0.011991383507847786
142,0.2931054687500001,1.0,353.0,0.016481079161167145,0.0017535958904772997
143,0.29130859375000007,1.0,445.0,-0.0006757937371730804,3.1042334285302786e-06
144,-0.08999999999999997,0.72,744.0,-0.3861944377422333,0.14432388544082642
145,0.2933593750000001,1.0,340.0,-0.00559807475656271,0.00020119425607845187
146,0.19000000000000006,1.0,865.0,-0.14250801503658295,0.016665607690811157
147,0.29000000000000004,1.0,517.0,-0.009131340309977531,0.0006425970350392163
148,0.292578125,1.0,380.0,-0.00016434771532658488,1.7803444052333361e-07
149,0.29000000000000004,1.0,757.0,-0.04686988890171051,0.005453132092952728
150,0.29302734375000006,1.0,357.0,0.015414353460073471,0.0012019176501780748
151,-0.03253521126760564,0.07746478873239436,607.0,-0.47825175523757935,0.07794129848480225
152,0.2908007812500001,1.0,471.0,0.014358924701809883,0.0009880102006718516
153,-0.015797101449275375,0.09420289855072463,630.0,-0.41000786423683167,0.0579153411090374
154,0.294921875,1.0,260.0,0.01599992997944355,0.0006721370737068355
