episode,reward,final_f1,total_tokens,policy_loss,value_loss
1,0.6895147235576924,0.6923076923076924,143.0,0.8853699564933777,0.724609375
2,0.10714395630411255,0.11255411255411256,277.0,0.28107690811157227,0.08120694011449814
3,0.4588219572368421,0.4631578947368421,222.0,0.5658265352249146,0.3467235565185547
4,0.13027911679964535,0.13475177304964536,229.0,0.20273275673389435,0.044166043400764465
5,0.2515384615384615,0.9615384615384615,591.0,0.34777480363845825,0.08537313342094421
6,-0.015138339920948624,0.09486166007905138,569.0,-0.036574237048625946,0.0013496896717697382
7,-0.04984962406015039,0.06015037593984962,780.0,-0.10587284713983536,0.010567944496870041
8,0.1065834683319398,0.11371237458193979,365.0,0.0212101973593235,0.0005500500556081533
9,0.013529411764705901,0.8235294117647058,530.0,-0.08229166269302368,0.005004288163036108
10,0.028655472132034638,0.03463203463203464,306.0,-0.08191770315170288,0.008855326101183891
11,-0.021564625850340136,0.08843537414965986,633.0,-0.18963634967803955,0.0345439538359642
12,0.19000000000000006,1.0,1144.0,0.0902668833732605,0.005952448584139347
13,0.39238281250000007,1.0,390.0,0.35161012411117554,0.07865718007087708
14,0.001755642361111101,0.1111111111111111,479.0,-0.13264882564544678,0.015805412083864212
15,0.39,1.0,521.0,0.35426491498947144,0.08150000125169754
16,0.39125,1.0,448.0,0.34665143489837646,0.08275949209928513
17,0.03907858455882353,0.04411764705882353,258.0,-0.11993119865655899,0.017299911007285118
18,0.16088948349530832,0.2680965147453083,369.0,-0.019566725939512253,0.0003289257292635739
19,0.39537109375,1.0,237.0,0.2684302031993866,0.054393839091062546
20,0.21710376701732673,0.32673267326732675,493.0,0.04650741070508957,0.0021662856452167034
21,0.39177734375000006,1.0,421.0,0.23033268749713898,0.04177407920360565
22,0.39162109375,1.0,429.0,0.20061273872852325,0.03275366872549057
23,0.02096976902173913,0.02608695652173913,262.0,-0.2050561010837555,0.04518435150384903
24,0.054895299692622954,0.05901639344262295,211.0,-0.1618305742740631,0.026121512055397034
25,0.39373046875000006,1.0,321.0,0.1664409041404724,0.024697663262486458
26,0.39427734375,1.0,293.0,0.16602006554603577,0.02613293007016182
27,0.39,1.0,626.0,0.10572772473096848,0.011383370496332645
28,0.39458984375000006,1.0,277.0,0.14036346971988678,0.020198797807097435
29,0.29000000000000004,1.0,663.0,-0.007468742784112692,6.555498111993074e-05
30,0.09767922794117645,0.7058823529411764,420.0,-0.18020334839820862,0.03646067529916763
31,0.39314453125000004,1.0,351.0,0.08017058670520782,0.007339189760386944
32,-0.0913953488372093,0.0186046511627907,548.0,-0.4961841404438019,0.16816829144954681
33,0.3901171875,1.0,506.0,0.033234160393476486,0.0014597539557144046
34,0.29000000000000004,1.0,599.0,-0.02643325924873352,0.0005671471008099616
35,0.11066518498563219,0.11494252873563218,219.0,-0.21703241765499115,0.03585503250360489
36,0.39046875000000003,1.0,488.0,0.05814258009195328,0.004674597643315792
37,0.06303789227320675,0.06751054852320675,229.0,-0.3216681480407715,0.07369577139616013
38,0.16964558462078652,0.17415730337078653,231.0,-0.1653403490781784,0.019170010462403297
39,0.20988121811224492,0.8163265306122449,330.0,-0.09015781432390213,0.012627837248146534
40,0.0957142857142857,0.2057142857142857,641.0,-0.2568279504776001,0.03910934552550316
41,0.10189828458629892,0.10676156583629892,249.0,-0.24053700268268585,0.03650825470685959
42,0.39326171875000004,1.0,345.0,0.11352238804101944,0.020956452935934067
43,0.10315725492738588,0.10788381742738588,242.0,-0.18103286623954773,0.02015663869678974
44,0.9978125,1.0,112.0,0.9303268194198608,0.6207308769226074
45,0.3946484375,1.0,274.0,0.13928250968456268,0.03297199308872223
46,0.29000000000000004,1.0,532.0,0.05880103260278702,0.003502853447571397
47,0.08228819880653267,0.09045226130653267,418.0,-0.22949156165122986,0.02903573215007782
48,0.29000000000000004,1.0,824.0,0.0645868107676506,0.00415048049762845
49,0.11677787162162162,0.12162162162162161,248.0,-0.143487349152565,0.01082601211965084
50,0.39,1.0,573.0,0.09613458812236786,0.021890103816986084
51,0.22665364583333336,0.8333333333333334,342.0,0.008133431896567345,0.00014598757843486965
52,0.02954241071428572,0.03571428571428572,316.0,-0.2807561755180359,0.03729449585080147
53,0.3923046875,1.0,394.0,0.10862013697624207,0.02992216683924198
54,0.3945703125000001,1.0,278.0,0.11682391911745071,0.033212386071681976
55,0.39068359375000006,1.0,477.0,0.08565758168697357,0.021330147981643677
56,0.29000000000000004,1.0,612.0,0.045148760080337524,0.002601088024675846
57,0.3930859375,1.0,354.0,0.07661236077547073,0.019212154671549797
58,0.39306640625,1.0,355.0,0.06757590174674988,0.014069808647036552
59,0.03927702002762431,0.04419889502762431,252.0,-0.4219636917114258,0.06323517858982086
60,0.3935937500000001,1.0,328.0,0.028464244678616524,0.0030715162865817547
61,0.39103515625000007,1.0,459.0,0.02933037094771862,0.003843660932034254
62,0.29000000000000004,1.0,806.0,-0.0810474157333374,0.00816829688847065
63,0.3906640625000001,1.0,478.0,0.0016065300442278385,1.6609679732937366e-05
64,0.3931054687500001,1.0,353.0,-0.0021198135800659657,2.998753188876435e-05
65,0.39138671875,1.0,441.0,-0.009449761360883713,0.00072522833943367
66,0.39279296875,1.0,369.0,-0.003098687157034874,6.46810804028064e-05
67,0.39462890625,1.0,275.0,0.007379511371254921,0.0002865103306248784
68,0.39337890625000005,1.0,339.0,-0.015609866939485073,0.002157737035304308
69,0.9868629092261905,0.9904761904761905,185.0,0.9802660942077637,0.3332608640193939
70,0.39019531250000006,1.0,502.0,-0.008599097840487957,0.0004886959795840085
71,0.023854663645038167,0.030534351145038167,342.0,-0.9039777517318726,0.18087956309318542
72,0.39,1.0,585.0,-0.025141630321741104,0.007627660874277353
73,0.29000000000000004,1.0,635.0,-0.15426629781723022,0.022611942142248154
74,0.39058593750000004,1.0,482.0,-0.014961897395551205,0.00254941382445395
75,-0.18873909883720924,0.4186046511627907,376.0,-0.2002040147781372,0.35999923944473267
76,0.39410156250000006,1.0,302.0,0.00707386014983058,0.00044873019214719534
77,0.09029908697289157,0.6987951807228916,435.0,-0.09906735271215439,0.1092008650302887
78,0.39351562500000004,1.0,332.0,0.01794055849313736,0.0028493779245764017
79,0.29000000000000004,1.0,970.0,-0.06838014721870422,0.004103459417819977
80,0.3929296875,1.0,362.0,0.014907381497323513,0.0022380014415830374
81,0.29000000000000004,1.0,807.0,-0.013452168554067612,0.0006692752940580249
82,0.39,1.0,647.0,0.02006322331726551,0.003727735485881567
83,0.39181640625,1.0,419.0,0.038953255861997604,0.012337718158960342
84,0.3913671875,1.0,442.0,0.028118783608078957,0.00735165411606431
85,0.39,1.0,565.0,0.0552152656018734,0.011797428131103516
86,0.39496093750000005,1.0,258.0,0.041202444583177567,0.01471253577619791
87,0.39,1.0,527.0,0.021001463755965233,0.004254079889506102
88,0.29000000000000004,1.0,912.0,-0.04801904037594795,0.001734406454488635
89,0.99318359375,1.0,349.0,1.1321996450424194,0.2937130331993103
90,0.395234375,1.0,244.0,0.016112294048070908,0.0019341042498126626
91,0.04167968750000006,0.65,426.0,-0.09569383412599564,0.11291209608316422
92,0.39107421875000004,1.0,457.0,0.005857797805219889,0.0004021729691885412
93,0.3906640625000001,1.0,478.0,-0.0037027010694146156,0.00022897773305885494
94,0.14398437500000005,0.75,308.0,-0.10977677255868912,0.05022677779197693
95,0.39,1.0,575.0,-0.003070028265938163,0.00011625545448623598
96,0.39277343750000004,1.0,370.0,0.00839838944375515,0.0007290182402357459
97,0.39482421875000007,1.0,265.0,0.013394336216151714,0.0017565898597240448
98,0.13260699728260872,0.7391304347826086,334.0,-0.07479244470596313,0.0583639033138752
99,0.3934375,1.0,336.0,0.011594288982450962,0.001384201692417264
100,0.24619140625,0.25,195.0,-0.23563984036445618,0.013205302879214287
101,0.1431640625,0.15,350.0,-0.4542078971862793,0.04874611645936966
102,0.29000000000000004,1.0,671.0,-0.06953883171081543,0.0031463447958230972
103,0.39410156250000006,1.0,302.0,0.018687067553400993,0.0039561111479997635
104,0.3934375,1.0,336.0,0.015146956779062748,0.0014980693813413382
105,0.39298828125000007,1.0,359.0,0.022905811667442322,0.006290624383836985
106,0.39435546875000005,1.0,289.0,0.033580731600522995,0.007774183992296457
107,0.39244140625,1.0,387.0,0.021499138325452805,0.0052696228958666325
108,0.39179687500000004,1.0,420.0,0.009774824604392052,0.0015286881243810058
109,0.39384765625000007,1.0,315.0,0.016085507348179817,0.003486370202153921
110,0.39365234375,1.0,325.0,0.015195132233202457,0.0031731589697301388
111,0.3781133497807017,0.38596491228070173,402.0,-0.02211865223944187,9.984072676161304e-05
112,0.2243854801829268,0.8292682926829268,250.0,-0.06129824370145798,0.036759696900844574
113,0.39728515625000005,1.0,139.0,0.006720045581459999,0.0003654288302641362
114,0.3933203125,1.0,342.0,-0.00031244714045897126,1.5696577975177206e-06
115,0.1669933744820442,0.1712707182320442,219.0,-0.6180919408798218,0.06099572405219078
116,0.39042968750000007,1.0,490.0,0.004841851536184549,0.0003352772328071296
117,0.391875,1.0,416.0,0.00403477530926466,0.0002718487521633506
118,0.3940820312500001,1.0,303.0,0.015146838501095772,0.0025526380632072687
119,0.39312500000000006,1.0,352.0,-0.0020820985082536936,0.00011184693721588701
120,0.3940625,1.0,304.0,-0.002635019598528743,0.00017746763478498906
121,0.39,1.0,609.0,-0.008145064115524292,0.0021114980336278677
122,0.3921875,1.0,400.0,-0.003264954313635826,0.0002639138256199658
123,0.39542968750000007,1.0,234.0,0.0004887516261078417,5.346743364498252e-06
124,0.3911328125,1.0,454.0,-0.0024274650495499372,0.00013824635243508965
125,0.39251953125000005,1.0,383.0,-0.0034400438889861107,0.000321748957503587
126,0.22473958333333333,0.8333333333333333,440.0,-0.03279028832912445,0.03175931051373482
127,0.19211836557539685,0.19682539682539685,241.0,-0.4750390648841858,0.034569885581731796
128,0.39365234375,1.0,325.0,0.01117305550724268,0.0023441079538315535
129,0.39076171875,1.0,473.0,0.005911370273679495,0.0009105414501391351
130,0.39150390625,1.0,435.0,0.0028742204885929823,0.0002833370817825198
131,0.24940848214285716,0.8571428571428571,396.0,-0.01872209832072258,0.010434797964990139
132,0.21021324936224495,0.8163265306122449,313.0,-0.02848711982369423,0.022012189030647278
133,0.394296875,1.0,292.0,0.015586945228278637,0.006077810190618038
134,0.18362341772151897,0.18987341772151897,320.0,-0.35989972949028015,0.01795055903494358
135,0.07108640742481202,0.07518796992481203,210.0,-0.5495085120201111,0.043132685124874115
136,0.3929296875,1.0,362.0,0.02210855670273304,0.01300182193517685
137,0.39341796875,1.0,337.0,0.017368776723742485,0.004634254612028599
138,0.39140625000000007,1.0,440.0,0.019172441214323044,0.006957461126148701
139,0.39324218750000006,1.0,346.0,0.019420213997364044,0.012584886513650417
140,0.39423828125000004,1.0,295.0,0.02190111018717289,0.0077881221659481525
141,0.39236328125,1.0,391.0,0.012073810212314129,0.007950429804623127
142,0.3931054687500001,1.0,353.0,0.015260480344295502,0.009893893264234066
143,0.39130859375000004,1.0,445.0,0.006508255377411842,0.0024330720771104097
144,0.11238281250000004,0.72,390.0,-0.0358707457780838,0.07080809772014618
145,0.03656954405737704,0.040983606557377046,226.0,-1.182219386100769,0.1321181207895279
146,0.39033203125000004,1.0,495.0,-0.005031118169426918,0.0022841026075184345
147,0.39,1.0,517.0,-0.0028234142810106277,0.0010751219233497977
148,0.392578125,1.0,380.0,-0.0009886480402201414,0.00011055654613301158
149,0.39,1.0,757.0,-0.020262768492102623,0.008483951911330223
150,0.39302734375000004,1.0,357.0,0.0020467808935791254,0.00032867977279238403
151,0.3922265625,1.0,398.0,-0.0017585258465260267,0.0002773145097307861
152,0.39080078125000006,1.0,471.0,-0.0013911694986745715,0.00015946911298669875
153,0.3921289062500001,1.0,403.0,-0.0008744424558244646,7.42421398172155e-05
154,0.394921875,1.0,260.0,-0.006304845213890076,0.0010841622715815902
155,0.39,1.0,623.0,-0.01442584116011858,0.008438264019787312
156,0.3928515625,1.0,366.0,0.004238821566104889,0.0017445047851651907
157,0.39201171875000007,1.0,409.0,0.0030407507438212633,0.0007663115975446999
158,0.06340093972419929,0.07117437722419928,398.0,-1.1273250579833984,0.09128724783658981
